epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.446,0,3.54592,0,0,0,0,0,0,0,0,0.00333257,0.00333257,0.00333257
2,1247.66,0,0,0,0,0,0,0,0,0,0,0.00657163,0.00657163,0.00657163
3,1773.8,0,0,0,0,0,0,0,0,0,0,0.0097164,0.0097164,0.0097164
4,2292.77,0,0,0,0,0,0,0,0,0,0,0.00957571,0.00957571,0.00957571
5,2779.51,0,0,0,0,0,0,0,0,0,0,0.00943429,0.00943429,0.00943429
6,3305.73,0,0,0,0,0,0,0,0,0,0,0.00929286,0.00929286,0.00929286
7,3925.11,0,0,0,0,0,0,0,0,0,0,0.00915143,0.00915143,0.00915143
8,4622.46,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
9,5206.72,0,0,0,0,0,0,0,0,0,0,0.00886857,0.00886857,0.00886857
10,6666.25,0,0,0,0,0,0,0,0,0,0,0.00872714,0.00872714,0.00872714
11,8235.84,0,0,0,0,0,0,0,0,0,0,0.00858571,0.00858571,0.00858571
12,9933.21,0,0,0,0,0,0,0,0,0,0,0.00844429,0.00844429,0.00844429
13,11187.3,0,0,0,0,0,0,0,0,0,0,0.00830286,0.00830286,0.00830286
14,12620.4,0,0,0,0,0,0,0,0,0,0,0.00816143,0.00816143,0.00816143
15,14010.7,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
16,14944.8,0,0,0,0,0,0,0,0,0,0,0.00787857,0.00787857,0.00787857
17,16188,0,0,0,0,0,0,0,0,0,0,0.00773714,0.00773714,0.00773714
18,17296.5,0,0,0,0,0,0,0,0,0,0,0.00759571,0.00759571,0.00759571
19,18456,0,0,0,0,0,0,0,0,0,0,0.00745429,0.00745429,0.00745429
20,19723.1,0,0,0,0,0,0,0,0,0,0,0.00731286,0.00731286,0.00731286
21,21263.4,0,0,0,0,0,0,0,0,0,0,0.00717143,0.00717143,0.00717143
22,22767.5,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
23,24166,0,0,0,0,0,0,0,0,0,0,0.00688857,0.00688857,0.00688857
24,25297.8,0,0,0,0,0,0,0,0,0,0,0.00674714,0.00674714,0.00674714
25,26251.2,0,0,0,0,0,0,0,0,0,0,0.00660571,0.00660571,0.00660571
26,27197.4,0,0,0,0,0,0,0,0,0,0,0.00646429,0.00646429,0.00646429
27,27805.1,0,0,0,0,0,0,0,0,0,0,0.00632286,0.00632286,0.00632286
28,28418.4,0,0,0,0,0,0,0,0,0,0,0.00618143,0.00618143,0.00618143
29,28948.6,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
30,29411.4,0,0,0,0,0,0,0,0,0,0,0.00589857,0.00589857,0.00589857
31,29911.1,0,0,0,0,0,0,0,0,0,0,0.00575714,0.00575714,0.00575714
32,30430.2,0,0,0,0,0,0,0,0,0,0,0.00561571,0.00561571,0.00561571
33,30955.2,0,0,0,0,0,0,0,0,0,0,0.00547429,0.00547429,0.00547429
34,31482.1,0,0,0,0,0,0,0,0,0,0,0.00533286,0.00533286,0.00533286
35,32002.9,0,0,0,0,0,0,0,0,0,0,0.00519143,0.00519143,0.00519143
36,32522,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
37,33052.4,0,0,0,0,0,0,0,0,0,0,0.00490857,0.00490857,0.00490857
38,33576.8,0,0,0,0,0,0,0,0,0,0,0.00476714,0.00476714,0.00476714
39,34102.6,0,0,0,0,0,0,0,0,0,0,0.00462571,0.00462571,0.00462571
40,34629,0,0,0,0,0,0,0,0,0,0,0.00448429,0.00448429,0.00448429
41,35166.2,0,0,0,0,0,0,0,0,0,0,0.00434286,0.00434286,0.00434286
42,35689.6,0,0,0,0,0,0,0,0,0,0,0.00420143,0.00420143,0.00420143
43,36207.8,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
44,36722.6,0,0,0,0,0,0,0,0,0,0,0.00391857,0.00391857,0.00391857
45,37251.5,0,0,0,0,0,0,0,0,0,0,0.00377714,0.00377714,0.00377714
46,37777.8,0,0,0,0,0,0,0,0,0,0,0.00363571,0.00363571,0.00363571
47,38295.8,0,0,0,0,0,0,0,0,0,0,0.00349429,0.00349429,0.00349429
48,38828.5,0,0,0,0,0,0,0,0,0,0,0.00335286,0.00335286,0.00335286
49,39362.9,0,0,0,0,0,0,0,0,0,0,0.00321143,0.00321143,0.00321143
50,39826.9,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
51,40280.9,0,0,0,0,0,0,0,0,0,0,0.00292857,0.00292857,0.00292857
52,40734.9,0,0,0,0,0,0,0,0,0,0,0.00278714,0.00278714,0.00278714
