epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5848,1.87057,2.81097,1.57284,0.72368,0.63889,0.70128,0.34897,1.68601,1.65874,1.40014,0.00332051,0.00332051,0.00332051
2,126.525,1.72225,1.51052,1.33895,0.74975,0.6499,0.73438,0.35483,1.72081,1.33298,1.34239,0.00660993,0.00660993,0.00660993
3,200.471,1.75278,1.33457,1.35844,0.63512,0.51519,0.55119,0.2515,1.93033,1.76147,1.60421,0.00985535,0.00985535,0.00985535
4,291.566,1.792,1.28883,1.39388,0.74384,0.63985,0.72232,0.34686,1.82254,1.27024,1.45654,0.009802,0.009802,0.009802
5,370.237,1.74288,1.20017,1.3736,0.7931,0.71839,0.81331,0.40432,1.7605,1.09495,1.4185,0.009736,0.009736,0.009736
6,451.427,1.72803,1.13287,1.35705,0.83549,0.79119,0.86384,0.423,1.66532,0.99156,1.3611,0.00967,0.00967,0.00967
7,544.381,1.70106,1.08726,1.33965,0.81682,0.67146,0.7699,0.38109,1.77851,1.21508,1.42363,0.009604,0.009604,0.009604
8,629.429,1.68409,1.0567,1.33472,0.82496,0.73132,0.81349,0.4233,1.7139,1.08471,1.43421,0.009538,0.009538,0.009538
9,715.282,1.66225,1.01306,1.31512,0.81201,0.78257,0.85463,0.43864,1.70494,0.9585,1.37154,0.009472,0.009472,0.009472
10,797.157,1.64639,0.99479,1.30347,0.85779,0.80595,0.87995,0.46543,1.67314,0.90055,1.37164,0.009406,0.009406,0.009406
11,880.338,1.64794,0.95571,1.30074,0.88445,0.80795,0.90135,0.4816,1.62683,0.85783,1.35557,0.00934,0.00934,0.00934
12,966.153,1.62824,0.92239,1.29534,0.88419,0.84104,0.91709,0.5032,1.57784,0.84923,1.30164,0.009274,0.009274,0.009274
13,1052.43,1.61583,0.93651,1.28016,0.88994,0.81466,0.90684,0.49558,1.57469,0.84898,1.31474,0.009208,0.009208,0.009208
14,1139.46,1.59606,0.89959,1.26729,0.86493,0.82902,0.90508,0.48586,1.60897,0.85378,1.32743,0.009142,0.009142,0.009142
15,1221.22,1.57707,0.88561,1.27204,0.88432,0.86773,0.92678,0.50477,1.58983,0.80045,1.31769,0.009076,0.009076,0.009076
16,1300.85,1.58086,0.8717,1.26798,0.88716,0.8284,0.9066,0.49475,1.60597,0.80841,1.32986,0.00901,0.00901,0.00901
17,1384.46,1.57439,0.86352,1.26532,0.86408,0.70019,0.78655,0.40235,1.78702,1.08321,1.39699,0.008944,0.008944,0.008944
18,1467.64,1.57935,0.86011,1.2583,0.89212,0.88458,0.93841,0.53201,1.53442,0.73709,1.27616,0.008878,0.008878,0.008878
19,1550.15,1.58181,0.8581,1.26321,0.90374,0.87979,0.94484,0.53024,1.55416,0.724,1.2876,0.008812,0.008812,0.008812
20,1633.55,1.5625,0.8333,1.25381,0.90219,0.8879,0.93778,0.52848,1.55606,0.71896,1.29528,0.008746,0.008746,0.008746
21,1718.9,1.56129,0.827,1.24929,0.90842,0.86464,0.93564,0.52361,1.54417,0.75773,1.2857,0.00868,0.00868,0.00868
22,1800.72,1.54385,0.81393,1.24427,0.90437,0.8741,0.93839,0.52866,1.54014,0.7243,1.28991,0.008614,0.008614,0.008614
23,1881.3,1.53496,0.79808,1.23569,0.92974,0.88094,0.94719,0.53566,1.53563,0.7016,1.28155,0.008548,0.008548,0.008548
24,1961.15,1.52661,0.79745,1.22795,0.92092,0.88745,0.95416,0.55233,1.51504,0.68915,1.27058,0.008482,0.008482,0.008482
25,2040.02,1.53221,0.78439,1.23204,0.90103,0.81513,0.90666,0.49952,1.59883,0.80626,1.30383,0.008416,0.008416,0.008416
26,2117.1,1.51262,0.76455,1.22567,0.91544,0.90086,0.94858,0.54596,1.52401,0.67013,1.26652,0.00835,0.00835,0.00835
27,2191.26,1.51463,0.77381,1.21976,0.92807,0.8932,0.95442,0.54525,1.52498,0.68117,1.25934,0.008284,0.008284,0.008284
28,2261.38,1.50323,0.75833,1.21847,0.9228,0.90456,0.95393,0.55418,1.514,0.656,1.25527,0.008218,0.008218,0.008218
29,2334.5,1.50195,0.76287,1.21271,0.93813,0.8999,0.95502,0.55733,1.50104,0.65267,1.2404,0.008152,0.008152,0.008152
