epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.752,1.97083,1.87958,1.61938,0.20002,0.1954,0.11766,0.03926,2.48351,3.0859,1.99144,0.0701154,0.00332051,0.00332051
2,109.683,1.94549,1.56053,1.60575,0.60781,0.4114,0.43254,0.20006,2.01934,2.63062,1.83282,0.0400715,0.00660993,0.00660993
3,166.885,1.87915,1.47048,1.55413,0.59691,0.53305,0.56081,0.23701,1.91541,1.73004,1.62978,0.00998355,0.00985535,0.00985535
4,227.409,1.87424,1.39716,1.5376,0.48276,0.45642,0.42139,0.1602,2.02078,2.54371,1.71345,0.009802,0.009802,0.009802
5,285.43,1.82758,1.35366,1.51271,0.70068,0.62069,0.69908,0.33554,1.7957,1.34567,1.54102,0.009736,0.009736,0.009736
6,343.888,1.81249,1.30734,1.50279,0.72163,0.67193,0.74079,0.35279,1.82016,1.25793,1.55157,0.00967,0.00967,0.00967
7,404.056,1.7982,1.27714,1.49632,0.7773,0.71025,0.79435,0.39191,1.7372,1.18924,1.50903,0.009604,0.009604,0.009604
8,462.35,1.77871,1.24088,1.4785,0.76993,0.69718,0.78389,0.39599,1.70564,1.19449,1.4883,0.009538,0.009538,0.009538
9,521.055,1.76779,1.22168,1.47995,0.49188,0.35153,0.37058,0.16291,2.20878,2.42272,1.87496,0.009472,0.009472,0.009472
10,578.941,1.7599,1.19603,1.47599,0.73019,0.57807,0.65409,0.32722,1.83654,1.60668,1.61638,0.009406,0.009406,0.009406
11,638.319,1.75577,1.17248,1.4694,0.72483,0.56034,0.63403,0.3108,1.82158,1.5555,1.60311,0.00934,0.00934,0.00934
12,699.283,1.74391,1.16712,1.47296,0.75232,0.71935,0.78028,0.39941,1.66302,1.1549,1.5045,0.009274,0.009274,0.009274
13,759.184,1.74184,1.17661,1.46049,0.73616,0.59243,0.67782,0.33007,1.82458,1.43684,1.6285,0.009208,0.009208,0.009208
14,817.806,1.74132,1.12439,1.46461,0.78786,0.67672,0.77127,0.39437,1.72418,1.16385,1.52257,0.009142,0.009142,0.009142
15,876.192,1.71724,1.1176,1.45885,0.75179,0.69828,0.77625,0.38398,1.73407,1.203,1.5374,0.009076,0.009076,0.009076
16,934.742,1.71246,1.09577,1.44282,0.71237,0.71999,0.75774,0.38071,1.69642,1.35309,1.52684,0.00901,0.00901,0.00901
17,992.236,1.71393,1.09496,1.45393,0.74716,0.66518,0.75657,0.36199,1.78011,1.21315,1.53385,0.008944,0.008944,0.008944
18,1050.49,1.71251,1.08284,1.44904,0.79534,0.76869,0.84285,0.419,1.72056,1.01915,1.52547,0.008878,0.008878,0.008878
